"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","index","test_part","subjectKey","src_subject_id","site","interview_date","session","sex","sample_group","interview_age","response"
"2228.9999999920838","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","2232","0.0-0.0","","","","","","","","","","",""
"1158.6099999840371","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","3392","0.0-1.0-0.0","","","","","","","","","","",""
"879.335000005085","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","4272","0.0-1.0-1.0","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","5274","0.0-2.0-0.0","","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0103.WAV","null","audio-keyboard-response","4","7147","0.0-2.0-1.0","0","","","","","","","","","",""
"532.4450000189245","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","7680","0.0-2.0-2.0","","unintel","GUID","309999","30","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","17681","0.0-3.0","","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ1803.WAV","null","audio-keyboard-response","7","19105","0.0-4.0-0.0","1","unaltered","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","19607","0.0-4.0-1.0","","","","","","","","","","",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","29609","0.0-5.0","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","30611","0.0-6.0-0.0","","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0609.WAV","null","audio-keyboard-response","11","32326","0.0-6.0-1.0","2","","","","","","","","","",""
"2121.419999981299","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","34448","0.0-6.0-2.0","","unintel","GUID","309999","30","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","34950","0.0-7.0-0.0","","","","","","","","","","",""
