"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim","subjectKey","src_subject_id","site","interview_date","session","sex","sample_group","interview_age","index","response"
"316.90000044181943","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","321","0.0-0.0","","","","","","","","","","","",""
"170.40499998256564","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","493","0.0-1.0-0.0","","","","","","","","","","","",""
"151.16999996826053","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","645","0.0-1.0-1.0","","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","1651","0.0-2.0-0.0","","","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0411.WAV","null","audio-keyboard-response","4","3333","0.0-2.0-1.0","","","","","","","","","","","",""
"937.9400000907481","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","5","4272","0.0-2.0-2.0","unintel","411.wav","GUID","2032432","20","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1","0"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","14279","0.0-3.0","","","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ2108.WAV","null","audio-keyboard-response","7","15854","0.0-4.0-0.0","unaltered","2108.wav","GUID","2032432","20","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1","null"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","16359","0.0-4.0-1.0","","","","","","","","","","","",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","26365","0.0-5.0","","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","27372","0.0-6.0-0.0","","","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0206.WAV","null","audio-keyboard-response","11","29049","0.0-6.0-1.0","","","","","","","","","","","",""
"56885.97000017762","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","85938","0.0-6.0-2.0","unintel","206.wav","GUID","2032432","20","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","3","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","86442","0.0-7.0-0.0","","","","","","","","","","","",""
