"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim","subjectKey","src_subject_id","site","interview_date","session","sex","sample_group","interview_age","index","response"
"378.6100000143051","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","382","0.0-0.0","","","","","","","","","","","",""
"258.6099999025464","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","642","0.0-1.0-0.0","","","","","","","","","","","",""
"183.28999960795045","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","826","0.0-1.0-1.0","","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","1831","0.0-2.0-0.0","","","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0306.wav","null","audio-keyboard-response","4","3651","0.0-2.0-1.0","","","","","","","","","","","",""
"387.85000005736947","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","4040","0.0-2.0-2.0","intel","306.wav","GUID","20321312","20","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1","1"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","14044","0.0-3.0","","","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ2116.WAV","null","audio-keyboard-response","7","15220","0.0-4.0-0.0","unaltered","2116.wav","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","15725","0.0-4.0-1.0","","","","","","","","","","","",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","25728","0.0-5.0","","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","26734","0.0-6.0-0.0","","","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0412.wav","null","audio-keyboard-response","11","28624","0.0-6.0-1.0","","","","","","","","","","","",""
"30783.03000004962","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","59409","0.0-6.0-2.0","intel","412.wav","GUID","20321312","20","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","3","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","59913","0.0-7.0-0.0","","","","","","","","","","","",""
